case,class,count,failed,mean_output_len,request_throughput,output_throughput,ttft_p50_ms,e2e_p50_ms,ttft_p90_ms,e2e_p90_ms,ttft_p95_ms,e2e_p95_ms,ttft_p99_ms,e2e_p99_ms
baseline,all,200,0,107.92,5.76263553470362,621.9036269052147,3358.8672894984484,5066.509588010376,4890.471432299819,9594.681436754763,5130.081799085019,10120.013816579014,5413.160811885608,10476.055485132381
baseline,short,124,0,17.161290322580644,,,3551.445943507133,4036.8221154785715,4977.064808673458,5232.950177142629,5211.37653152109,5503.4751726692775,5401.786300405511,5834.5977222471265
baseline,long,76,0,256,,,3304.4371105497703,8591.865430033067,4774.627931503346,10247.88146498031,5000.696867282386,10352.916354793706,5219.191105978098,10612.1066732303
eos_aware,all,200,0,107.91,5.781071342596158,623.8354085795514,149.10515845986083,818.0384125153068,233.14613529946655,25616.37035810854,280.00170070445165,30161.924539264877,343.18379942269524,32773.93809978908
eos_aware,short,124,0,17.14516129032258,,,156.74230401054956,448.7844399991445,228.34673299803404,950.3611831227317,280.01124524453184,1012.4953966354949,348.6137273459462,1048.6369983426994
eos_aware,long,76,0,256,,,138.280900020618,17268.583750526886,238.57504248735495,30980.17685097875,261.8613060039934,31851.866727956804,322.96548977319617,33630.41080125549
quota_0_1,all,200,0,107.88,5.7533188600186715,620.6680386188143,178.30602297908626,961.7321080586407,843.3983536320736,25775.524169066917,1390.3645875689112,29938.459527309173,1619.93322764174,32855.3382649261
quota_0_1,short,124,0,17.096774193548388,,,187.98387850984,497.67524702474475,1055.9482139942706,1460.9306860074867,1447.4154511030065,1736.1593209498092,1701.7607313406183,2210.8564751013178
quota_0_1,long,76,0,256,,,162.29440199094824,11919.828931509983,338.7487785075791,31075.789893511683,863.5487280262168,32018.056301763863,1229.7616247669794,33797.22567148565
quota_0_3,all,200,0,107.895,5.7919890577964095,624.9266593909435,183.763225475559,833.9364324638154,385.4774590174202,25543.174024438486,431.5213495254286,29987.49597866845,526.469633945962,32711.10028038208
quota_0_3,short,124,0,17.120967741935484,,,186.67316349456087,525.1336644869298,379.66399130527867,971.7199628415983,419.2085502145346,1040.834031632403,522.2234460146864,1185.0717589718984
quota_0_3,long,76,0,256,,,181.18486800813116,16929.750591516495,386.28203549887985,30873.193874460412,456.37710599112324,31784.041741251713,535.3899445326533,33564.129795267945
token_count_only,all,200,0,107.825,5.752029023686868,620.2125294790366,128.45101897255518,790.2611294994131,207.7169170428533,25619.672565604556,231.8388761777897,30023.545523299257,313.7455290666548,32890.70072727219
token_count_only,short,124,0,17.008064516129032,,,137.67718250164762,442.2700769791845,210.7997171638999,913.5001456306782,229.27858944749457,947.5663978751982,272.8503881563664,1037.906180852442
token_count_only,long,76,0,256,,,123.93191701266915,17174.87822350813,198.9577260101214,31066.777279484086,261.9074812682811,31927.183612293447,321.079314511735,33629.34598798165
