case,class,count,failed,mean_output_len,request_throughput,output_throughput,ttft_p50_ms,e2e_p50_ms,ttft_p90_ms,e2e_p90_ms,ttft_p95_ms,e2e_p95_ms,ttft_p99_ms,e2e_p99_ms
baseline,all,200,0,129.14,3.8347647134626697,495.22151509656914,9531.061494999449,12210.660730997915,18542.799325290252,22169.151564803906,19947.240160300862,24742.040691847807,20400.886488292308,26943.60417197982
baseline,short,107,0,18.878504672897197,,,9400.135261006653,9701.311185024679,18795.688757195607,19336.776846420256,19957.668010215275,20308.272487088107,20390.56204388209,20856.31517480593
baseline,long,93,0,256,,,9747.939888999099,16912.021408992587,18268.108328990635,25404.425224603616,18753.339290997246,25748.81861920585,20345.07642782759,27022.70211954834
eos_aware,all,200,0,129.14,3.476664080441144,448.9763993481693,11293.756041995948,14521.98752600816,22756.25360230333,26664.703520014882,24430.290096235694,29398.61532724318,24867.72792493197,32166.422643818656
eos_aware,short,107,0,18.878504672897197,,,11157.94834800181,11386.679930030368,23189.49185120874,23768.056856002666,24437.30502948165,24807.013416479458,24866.794830882573,25290.88152075943
eos_aware,long,93,0,256,,,11496.5400499932,19599.070466007106,22469.0328060009,30303.1984909845,23168.34365100367,30882.637387001887,24884.838643064722,32249.557117794175
quota_0_1,all,200,0,129.14,3.446067103874743,445.0251057943843,11403.140579510364,14544.97348399309,23333.00939649052,27217.5425480993,24929.942035778367,29939.015954489892,25430.152612022357,32620.723321734695
quota_0_1,short,107,0,18.878504672897197,,,11252.973724011099,11476.241440046579,23627.738511591455,24189.06114881393,24941.23769419093,25285.879001006833,25394.426562114386,25916.92254619673
quota_0_1,long,93,0,256,,,11638.376786984736,19848.567817010917,23041.69200081378,30859.48844196973,23716.455898399,31407.10931639769,25457.80571332085,32787.51677108696
quota_0_3,all,200,0,129.14,3.4482443413704678,445.3062742445822,11443.11380351428,14840.157915998134,23229.62743290118,27115.000120093464,24834.989201791177,29845.249960056404,25338.969363378124,32559.80537310737
quota_0_3,short,107,0,18.878504672897197,,,11143.561728007626,11669.203578028828,23552.62434978504,24113.313789595857,24871.222175195,25234.4519123988,25336.941231426317,25822.99065095256
quota_0_3,long,93,0,256,,,11832.056329003535,19911.1497150152,22917.145038378654,30749.963110766836,23627.748873812383,31344.149607414147,25333.756128936075,32699.562474018894
token_count_only,all,200,0,129.14,3.477431449670898,449.0754974104998,11347.647221991792,14557.967432003352,22811.302550602704,26691.24470599054,24374.851815104194,29386.84804445658,24935.693916781747,32092.864062704317
token_count_only,short,107,0,18.878504672897197,,,11197.22580400412,11422.514201985905,23127.96421458479,23668.519698001914,24387.358973399387,24730.29560011346,24838.188777534524,25364.094600095996
token_count_only,long,93,0,256,,,11581.14952701726,19562.82168001053,22512.76450520381,30329.834841197586,23255.628253205214,30944.381926802453,24959.15003877133,32307.441686898237
